Facility_Name,Address,Violation_Description,Grade,Longitude,Latitude
Bay Club Fremont,46650 Landing Pkwy,Nonfood-contact surfaces clean,G,-121.94170848,37.48465629
Chevron Station #9-0338,5500 Telegraph Ave,"Floors, walls and ceilings: built, maintained, and",G,-122.26197262,37.83964279
The Organic Coup,4825 Hopyard Rd F-2,Wiping cloths: properly used and stored,G,-121.90367797,37.69121522
Mountain Mike's Pizza,646 Hegenberger Rd #a,"Floors, walls and ceilings: built, maintained, and",G,-122.19560344,37.74736693
Chevron,6400 Dublin Blvd,Thermometers provided and accurate,G,-121.91138926,37.70396979
Eddie's Liquors,5491 College Ave,"Floors, walls and ceilings: built, maintained, and",G,-122.25154222,37.84188441
Walgreens Store #10526,3250 Lakeshore Ave,Thermometers provided and accurate,G,-122.24448849,37.8099037
Bob's Discount Liquor & Grocery #11,4854 Thornton Ave,Food properly labeled & honestly presented,G,-122.01985246,37.54969803
Tri Valley Ice Cafe,6611 Preston St D,Nonfood-contact surfaces clean,G,-121.71469203,37.70962426
Starbucks Coffee Company #14070,6786 Bernal Ave 810,Adequate ventilation and lighting designated area,G,-121.89829501,37.65795472
St Raymond School,11557 Shannon Ave,"Equipment, utensils and linens: storage and use",G,-121.94197881,37.71364283
Ini Burger,4233 Rosewood Dr 11,Adequate handwashing facilities supplied & accessi,G,-121.87419563,37.69832023
Fairlands Elementary School,4151 W Las Positas Blvd,"Floors, walls and ceilings: built, maintained, and",G,-121.8705615,37.69297985
The Habit Burger Grill,7295 Amador Plaza Rd,Equipment/Utensils - approved installed clean g,G,-121.92924258,37.7070096
Taco Bell #30782,6005 Preston Ave,Plumbing proper backflow devices,G,-121.71967019,37.70747323
Cash & Carry,400 Oak St,"Equipment, utensils and linens: storage and use",G,-122.26695372,37.79385451
Hirsch Elementary,41399 Chapel Way,Signs posted last inspection report available,G,-121.96459548,37.52906924
Snow Elementary School,6580 Mirabeau Dr,"Equipment, utensils and linens: storage and use",G,-122.04915302,37.54350254
Heart Beat Ktv,4288 Dublin Blvd 210,"Food in good condition, safe and unadulterated",G,-121.8759953,37.70562112
Van's Health Foods,2148 First St,"Floors, walls and ceilings: built, maintained, and",G,-121.76950136,37.68143331
Hacienda Cafe,4305 Hacienda Dr #160,"Equipment, utensils and linens: storage and use",G,-121.89475766,37.69182011
Surf City Squeeze,2465 Stoneridge Mall Rd 207,Hot and cold water available,G,-121.92943522,37.69591904
Bambu Pleasanton,2709 Stoneridge Dr 102,Signs posted last inspection report available,G,-121.84872774,37.69591869
Eve's Waterfront,15 Embarcadero,Food contact surfaces: clean and sanitized,G,-122.2699902,37.79021463
Safeway #1257 Fuel,4273 First St,Nonfood-contact surfaces clean,G,-121.74477967,37.69598958
Chipotle Mexican Grill #2078,4691 1st St,Hot and cold water available,G,-121.74162116,37.69925384
Somisomi Soft Serve & Taiyaki,2725 Stoneridge Dr 106,Demonstration of knowledge food manager certifica,G,-121.84992283,37.697011100000005
Gateway Liquors,5944 San Pablo Ave,Signs posted last inspection report available,G,-122.28353779,37.84243728
Chipotle Mexican Grill,7000 Amador Plaza Rd,Plan Review,G,-121.92884861,37.70610939
Bed Bath & Beyond #26,590 2nd St,Adequate ventilation and lighting designated area,G,-122.27819109999999,37.79679549
Melomelo Kava Bar,3264 Grand Ave,Demonstration of knowledge food manager certifica,G,-122.24726629,37.81258767
Durham,40292 Leslie St,Premises personal/cleaning items vermin-proofing,G,-121.96739132,37.54230523
Cambodian Street Food,2045 Foothill Blvd B,Garbage and refuse properly disposed facilities m,G,-122.23767841,37.78679138
Piedmont Gardens,110 41st St,Proper hot and cold holding temperatures,G,-122.25131434,37.82611211
Escuela Bilingue Internacional,410 Alcatraz Ave,Hot and cold water available,G,-122.25732169,37.85063098
Pa'latino Paleteria-neveria Y Mas,5696 Thornton Ave,"Floors, walls and ceilings: built, maintained, and",G,-122.02734216,37.54088084
Lakeside Cafe,326 23rd St #d,Food contact surfaces: clean and sanitized,G,-122.26452387,37.81187072
Donut Savant,3000 38th Ave,"Floors, walls and ceilings: built, maintained, and",G,-122.20349448,37.78733018
Valley View Elementary,480 Adams Way Way,Food storage food storage containers identified,G,-121.86360063,37.66110699
Home Depot #6636,43900 Icehouse Ter,Hot and cold water available,G,-121.94600163,37.51127113
Top Dog,3272 Lakeshore Ave,Food contact surfaces: clean and sanitized,G,-122.24508143,37.81039106
Basis Independent School,3300 Kearney St,Time as a public health control procedures & reco,G,-121.9752437,37.54845084
Nido's Backyard,104 Oak St,Food separated and protected,G,-122.26811894,37.79255079
Buffalo Wild Wings,1790 N First St,Wiping cloths: properly used and stored,G,-121.77474087,37.67986688
Oakland Coliseum West #220 Pantry #6,7000 Coliseum Way,Proper hot and cold holding temperatures,G,-122.20141371,37.7501469
Townplace Suites Newark Silicon Valley,39802 Cedar Blvd,Demonstration of knowledge food manager certifica,G,-121.99502563,37.52076825
Kimono,6770 Santa Rita Rd,Signs posted last inspection report available,G,-121.87089999,37.70020409
Walgreens #13595,1333 Broadway,Proper hot and cold holding temperatures,G,-122.27190274,37.80415006
Antojitos Chapines Tuya Vilma,4428 International Blvd,Plumbing proper backflow devices,G,-122.21356563,37.77176213
Jetro Cash & Carry,400 High St,Premises personal/cleaning items vermin-proofing,G,-122.22216622,37.76682264
Oak Tree Market,1454 High St,Garbage and refuse properly disposed facilities m,G,-122.21430582,37.77275534
Sharif's Market,1044 Willow St,Proper hot and cold holding temperatures,G,-122.29883087,37.80975715
Neveria Costa Alegre,36601 Newark Blvd #3,Food obtained from approved source,G,-122.03492698,37.53963091
Domino's Pizza,3360 Grand Ave,Food contact surfaces: clean and sanitized,G,-122.24623096,37.81358032
La Salsa,5525 Automall Pkwy,Equipment/Utensils - approved installed clean g,G,-121.97322425,37.50497548
Rico Rico Taco,3205 Lakeshore Ave,"Equipment, utensils and linens: storage and use",G,-122.24607124,37.81011998
Great Wall Company,720 Webster St,Equipment/Utensils - approved installed clean g,G,-122.27165297,37.79873157
Carriage Trade Liquors,350 E 18th St,Hot and cold water available,G,-122.25161406,37.79954203
3d Gourmet Catering,39233 Cedar Blvd,"Equipment, utensils and linens: storage and use",G,-122.00422282,37.52314152
Bankhead Theatre Concessions,2400 First St,Adequate handwashing facilities supplied & accessi,G,-121.76746639,37.68289729
Ichiro Sushi,412 15th St,Food storage food storage containers identified,G,-122.26951124,37.80513115
Think College Now/international Community School,2825 International Blvd,Premises personal/cleaning items vermin-proofing,G,-122.23509484,37.78288754
Jamba Juice,4327 First St,Plumbing proper backflow devices,G,-121.74321422,37.69700489
Papa John's Pizza,3301 E 12th St 117,Food separated and protected,G,-122.22468174,37.77566982
Qochon,4169 Cushing Pkwy,Signs posted last inspection report available,G,-121.94992023,37.49093733
Asa Liquors,5909 Market St,Hot and cold water available,G,-122.27533221,37.84395337
Ding Tea,6180 Jarvis Ave W,Food storage food storage containers identified,G,-122.0492925,37.54872491
Golden Tea Shop,901 Franklin St 118,Food contact surfaces: clean and sanitized,G,-122.27206254,37.80083229
Montclair Elementary School,1757 Mountain Blvd,Proper hot and cold holding temperatures,G,-122.21203953,37.83060513
Gotta Eatta Pita,5901 Owens Dr,Adequate ventilation and lighting designated area,G,-121.90333736,37.69954826
Little Caesars Pizza,39237 Cedar Blvd,Food contact surfaces: clean and sanitized,G,-122.00412347,37.52309241
City Grille,1259 Jefferson St B,"Equipment, utensils and linens: storage and use",G,-122.2753273,37.80491062
Pastino's,4207 Park Blvd,"Floors, walls and ceilings: built, maintained, and",G,-122.22288594,37.80718349
Oakland Grill,301 Franklin St,Food contact surfaces: clean and sanitized,G,-122.27484798,37.79649347
Ilava Hawaiian Bbq,1446 High St,"Food in good condition, safe and unadulterated",G,-122.21448571,37.77259420000001
Radio Bar,435 13th St,Adequate ventilation and lighting designated area,G,-122.27035079999999,37.80313104
Go Go Amigo Market,992 105th Ave,Signs posted last inspection report available,G,-122.17266485,37.73616489
Curry Pizza House,39070 Fremont Blvd,Adequate handwashing facilities supplied & accessi,R,-121.98740678,37.548125299999995
Cheri's Ice Cream & Deli,3206 International Blvd,Nonfood-contact surfaces clean,G,-122.22538061,37.77769651
Forage Kitchen,478 25th St,Nonfood-contact surfaces clean,G,-122.26783603,37.81443822
Mcdonald's #1405,6623 San Pablo Ave,Adequate handwashing facilities supplied & accessi,G,-122.28617814,37.84937225
Wienerschnitzel #241,37119 Fremont Blvd,"Equipment, utensils and linens: storage and use",G,-122.0095773,37.55948537
City Mart,9104 International Blvd,"Toilet facilities: properly constructed, supplied,",G,-122.17398724,37.7491109
Studio One Art Ctr Rehabilitation,365 45th St,Food contact surfaces: clean and sanitized,G,-122.25684383,37.83331975
Fist Of Flour Pizza Company,4166 Macarthur Blvd,Equipment/Utensils - approved installed clean g,G,-122.19619924,37.78889006
El Camino Real Bar,37667 Niles Blvd,"Floors, walls and ceilings: built, maintained, and",G,-121.9761592,37.57627206
Oakland Coliseum West #223 Snack Bar,7000 Coliseum Way,Adequate handwashing facilities supplied & accessi,G,-122.20141371,37.7501469
Panda Express,4001 Santa Rita Rd 7,Proper hot and cold holding temperatures,G,-121.87484318,37.6969534
Ye Hut,5515 College Ave,"Toilet facilities: properly constructed, supplied,",G,-122.25157343,37.84209669
Starbucks Coffee #6648,6050 Johnson Dr A,"Floors, walls and ceilings: built, maintained, and",G,-121.91691387,37.70124984
Byte Cafe #113901,6140 Stoneridge Mall Rd 155,Time as a public health control procedures & reco,G,-121.93204622,37.69608995
Oakland Coliseum East #240 Stand Ec#1,7000 Coliseum Way,"Floors, walls and ceilings: built, maintained, and",G,-122.20141371,37.7501469
Holy Land,677 Rand Ave,Food separated and protected,G,-122.24639947,37.81036789
Pans On Fire,3059 Hopyard Rd J-k,"No rodents, insects, birds, or animals",G,-121.89636212,37.67753596
Fd Gas,36974 Fremont Blvd,"Floors, walls and ceilings: built, maintained, and",G,-122.01280295,37.56118059
Sav Mor Liquors,1333 Peralta St,Food separated and protected,G,-122.29430601,37.81095156
Cafe Dejena,3939 Martin Luther King Jr Way,Proper cooling methods,G,-122.26869845,37.82881444
